productdimvals,preferencedimvals,representativedimvals
"[8 7 8;9 8 10;5 3 10]","[9 6 1]","[1 6 1;1 8 2;8 3 7]"
"[1 4 9;10 9 5;10 6 1]","[5 4 10]","[9 3 8;7 6 4;3 4 3]"
"[4 5 3;10 3 3;4 6 6]","[6 5 10]","[8 5 3;9 3 5;9 1 5]"
"[10 6 10;10 2 3;6 4 2]","[4 7 5]","[5 7 1;3 2 10;10 1 4]"
"[5 1 2;6 7 2;2 5 7]","[8 6 6]","[5 3 5;6 8 4;8 1 10]"
"[5 5 9;10 6 9;5 3 7;3 3 10;9 3 10;5 6 7]","[8 4 8]","[1 2 5;4 10 8;4 5 5]"
"[6 10 8;7 10 2;1 8 1;5 6 2;10 9 5;6 1 1]","[9 5 2]","[3 5 5;1 5 4;3 4 6]"
"[10 5 2;8 8 10;4 4 10;6 7 3;4 9 3;4 2 9]","[9 4 4]","[3 1 2;3 7 5;10 6 8]"
"[10 1 3;6 9 2;10 5 1;10 8 9;5 6 4;4 5 7]","[2 6 2]","[3 9 4;5 9 10;8 3 4]"
"[2 5 3;8 2 6;3 8 1;4 6 7;1 3 1;6 4 9]","[4 2 6]","[7 8 7;8 7 8;8 10 8]"
